language,count,date
english,2087975,2016-01
chinese,52154,2016-01
japanese,24110,2016-01
german,15152,2016-01
russian,14089,2016-01
korean,7513,2016-01
spanish,8693,2016-01
french,10633,2016-01
arabic,1053,2016-01
dutch,4125,2016-01
portuguese,7008,2016-01
vietnamese,1877,2016-01
italian,2989,2016-01
bulgarian,412,2016-01
persian,134,2016-01
greek,151,2016-01
hebrew,304,2016-01
ukrainian,910,2016-01
marathi,76,2016-01
thai,348,2016-01
georgian,217,2016-01
urdu,38,2016-01
tamil,23,2016-01
hindi,9,2016-01
bengali,4,2016-01
belarusian,16,2016-01
gujarati,6,2016-01
armenian,7,2016-01
punjabi,5,2016-01
telugu,3,2016-01
english,2224904,2016-02
japanese,26836,2016-02
chinese,36374,2016-02
russian,15964,2016-02
german,15258,2016-02
french,10115,2016-02
spanish,11782,2016-02
portuguese,8794,2016-02
korean,5579,2016-02
italian,2395,2016-02
dutch,6568,2016-02
thai,352,2016-02
arabic,1113,2016-02
vietnamese,1900,2016-02
hebrew,196,2016-02
persian,193,2016-02
ukrainian,818,2016-02
bulgarian,311,2016-02
greek,205,2016-02
urdu,62,2016-02
marathi,24,2016-02
hindi,16,2016-02
tamil,15,2016-02
georgian,66,2016-02
belarusian,16,2016-02
bengali,2,2016-02
armenian,1,2016-02
english,2391114,2016-03
chinese,65141,2016-03
japanese,28018,2016-03
russian,20920,2016-03
german,14612,2016-03
spanish,16853,2016-03
french,10144,2016-03
korean,8404,2016-03
portuguese,10271,2016-03
vietnamese,2955,2016-03
arabic,1314,2016-03
dutch,4249,2016-03
italian,2410,2016-03
thai,119,2016-03
persian,260,2016-03
ukrainian,959,2016-03
georgian,125,2016-03
greek,306,2016-03
tamil,8,2016-03
belarusian,12,2016-03
bulgarian,285,2016-03
hebrew,174,2016-03
urdu,58,2016-03
bengali,6,2016-03
armenian,3,2016-03
telugu,6,2016-03
marathi,14,2016-03
hindi,2,2016-03
gujarati,3,2016-03
english,2319930,2016-04
chinese,66926,2016-04
japanese,24675,2016-04
russian,21003,2016-04
spanish,16858,2016-04
german,14879,2016-04
french,9755,2016-04
korean,7422,2016-04
portuguese,11048,2016-04
dutch,4688,2016-04
italian,2161,2016-04
arabic,871,2016-04
vietnamese,3461,2016-04
georgian,183,2016-04
ukrainian,1028,2016-04
persian,295,2016-04
bulgarian,396,2016-04
hebrew,180,2016-04
belarusian,33,2016-04
greek,199,2016-04
thai,168,2016-04
urdu,39,2016-04
marathi,21,2016-04
bengali,2,2016-04
hindi,5,2016-04
armenian,2,2016-04
punjabi,1,2016-04
telugu,4,2016-04
tamil,1,2016-04
gujarati,1,2016-04
english,2301939,2016-05
chinese,73776,2016-05
japanese,27115,2016-05
russian,43691,2016-05
spanish,15547,2016-05
german,14954,2016-05
french,10226,2016-05
portuguese,12315,2016-05
korean,9368,2016-05
dutch,5671,2016-05
arabic,1249,2016-05
vietnamese,4333,2016-05
italian,2215,2016-05
ukrainian,1357,2016-05
persian,203,2016-05
