language,count,date
english,4459341,2021-01
chinese,195045,2021-01
japanese,113999,2021-01
korean,74888,2021-01
german,32155,2021-01
russian,44837,2021-01
spanish,25466,2021-01
french,22908,2021-01
portuguese,25470,2021-01
vietnamese,5552,2021-01
dutch,9516,2021-01
italian,5311,2021-01
persian,828,2021-01
thai,2793,2021-01
hebrew,851,2021-01
ukrainian,1863,2021-01
arabic,269,2021-01
greek,703,2021-01
bulgarian,228,2021-01
hindi,18,2021-01
urdu,21,2021-01
tamil,46,2021-01
belarusian,108,2021-01
bengali,37,2021-01
marathi,19,2021-01
georgian,98,2021-01
gujarati,3,2021-01
armenian,17,2021-01
telugu,1,2021-01
english,4539898,2021-02
japanese,111712,2021-02
chinese,147160,2021-02
korean,75139,2021-02
russian,53851,2021-02
german,28772,2021-02
spanish,24958,2021-02
portuguese,28835,2021-02
french,22617,2021-02
dutch,12012,2021-02
thai,1349,2021-02
italian,4921,2021-02
vietnamese,3580,2021-02
persian,626,2021-02
ukrainian,2350,2021-02
greek,639,2021-02
belarusian,82,2021-02
hebrew,513,2021-02
arabic,264,2021-02
bulgarian,164,2021-02
georgian,436,2021-02
hindi,14,2021-02
marathi,19,2021-02
tamil,46,2021-02
gujarati,2,2021-02
bengali,20,2021-02
telugu,7,2021-02
armenian,30,2021-02
urdu,7,2021-02
english,5117414,2021-03
japanese,113840,2021-03
chinese,176307,2021-03
korean,91962,2021-03
russian,61838,2021-03
portuguese,40890,2021-03
spanish,30107,2021-03
german,30397,2021-03
french,26233,2021-03
dutch,11566,2021-03
italian,5872,2021-03
vietnamese,6708,2021-03
greek,1071,2021-03
thai,817,2021-03
arabic,374,2021-03
hebrew,617,2021-03
bulgarian,350,2021-03
persian,662,2021-03
ukrainian,2491,2021-03
tamil,30,2021-03
georgian,165,2021-03
belarusian,104,2021-03
marathi,7,2021-03
hindi,9,2021-03
bengali,23,2021-03
urdu,8,2021-03
punjabi,1,2021-03
armenian,16,2021-03
telugu,4,2021-03
gujarati,1,2021-03
english,4768878,2021-04
chinese,178611,2021-04
japanese,103935,2021-04
korean,85837,2021-04
russian,58821,2021-04
spanish,37501,2021-04
german,30475,2021-04
portuguese,37975,2021-04
french,27139,2021-04
dutch,10307,2021-04
vietnamese,6274,2021-04
italian,5069,2021-04
ukrainian,2470,2021-04
hebrew,425,2021-04
persian,679,2021-04
thai,741,2021-04
greek,923,2021-04
arabic,355,2021-04
georgian,230,2021-04
bulgarian,418,2021-04
bengali,82,2021-04
armenian,24,2021-04
tamil,30,2021-04
belarusian,63,2021-04
hindi,4,2021-04
marathi,4,2021-04
gujarati,13,2021-04
urdu,8,2021-04
telugu,3,2021-04
punjabi,2,2021-04
english,4306569,2021-05
japanese,109592,2021-05
chinese,167392,2021-05
korean,109497,2021-05
russian,54610,2021-05
spanish,34291,2021-05
german,29362,2021-05
portuguese,37687,2021-05
french,23423,2021-05
italian,4432,2021-05
dutch,8374,2021-05
vietnamese,7470,2021-05
ukrainian,2374,2021-05
thai,773,2021-05
persian,677,2021-05
georgian,132,2021-05
bulgarian,147,2021-05
arabic,215,2021-05
greek,536,2021-05
bengali,99,2021-05
belarusian,91,2021-05
gujarati,53,2021-05
hebrew,612,2021-05
telugu,3,2021-05
tamil,42,2021-05
armenian,22,2021-05
hindi,9,2021-05
marathi,18,2021-05
urdu,11,2021-05
english,4390684,2021-06
chinese,174712,2021-06
japanese,99495,2021-06
korean,89364,2021-06
russian,58873,2021-06
portuguese,34161,2021-06
spanish,29243,2021-06
german,29131,2021-06
french,21799,2021-06
vietnamese,6714,2021-06
dutch,10240,2021-06
italian,2897,2021-06
hebrew,461,2021-06
greek,566,2021-06
ukrainian,2586,2021-06
persian,532,2021-06
bulgarian,163,2021-06
arabic,299,2021-06
thai,598,2021-06
georgian,87,2021-06
urdu,26,2021-06
bengali,39,2021-06
belarusian,56,2021-06
gujarati,29,2021-06
armenian,33,2021-06
tamil,37,2021-06
hindi,7,2021-06
marathi,2,2021-06
english,4271713,2021-07
chinese,181394,2021-07
japanese,89254,2021-07
korean,119695,2021-07
russian,55294,2021-07
portuguese,35475,2021-07
german,23153,2021-07
spanish,24403,2021-07
french,17641,2021-07
dutch,7801,2021-07
vietnamese,7361,2021-07
italian,3009,2021-07
ukrainian,3200,2021-07
hebrew,530,2021-07
thai,716,2021-07
persian,749,2021-07
greek,400,2021-07
bulgarian,303,2021-07
arabic,333,2021-07
georgian,69,2021-07
belarusian,36,2021-07
bengali,48,2021-07
armenian,49,2021-07
tamil,32,2021-07
telugu,3,2021-07
marathi,14,2021-07
urdu,15,2021-07
gujarati,38,2021-07
hindi,8,2021-07
punjabi,1,2021-07
english,3876267,2021-08
chinese,175645,2021-08
korean,128627,2021-08
japanese,89306,2021-08
russian,47676,2021-08
portuguese,38465,2021-08
german,19049,2021-08
spanish,20769,2021-08
french,13905,2021-08
vietnamese,7966,2021-08
dutch,5580,2021-08
ukrainian,2730,2021-08
persian,1165,2021-08
italian,2419,2021-08
georgian,244,2021-08
thai,588,2021-08
arabic,239,2021-08
hebrew,255,2021-08
armenian,36,2021-08
greek,290,2021-08
bengali,288,2021-08
belarusian,51,2021-08
bulgarian,93,2021-08
tamil,24,2021-08
urdu,12,2021-08
gujarati,25,2021-08
hindi,23,2021-08
marathi,15,2021-08
punjabi,1,2021-08
telugu,2,2021-08
english,4270212,2021-09
chinese,184515,2021-09
japanese,96061,2021-09
korean,95615,2021-09
russian,58818,2021-09
portuguese,40350,2021-09
spanish,33325,2021-09
german,24032,2021-09
french,19374,2021-09
vietnamese,6945,2021-09
dutch,7912,2021-09
italian,3515,2021-09
ukrainian,3118,2021-09
persian,687,2021-09
thai,816,2021-09
hebrew,238,2021-09
arabic,298,2021-09
greek,413,2021-09
tamil,28,2021-09
bulgarian,139,2021-09
armenian,14,2021-09
urdu,12,2021-09
bengali,68,2021-09
marathi,16,2021-09
georgian,47,2021-09
belarusian,35,2021-09
gujarati,36,2021-09
hindi,16,2021-09
english,1812391,2021-10
japanese,45026,2021-10
chinese,64084,2021-10
korean,53933,2021-10
spanish,16582,2021-10
portuguese,17319,2021-10
russian,34398,2021-10
german,9979,2021-10
french,7924,2021-10
dutch,3533,2021-10
vietnamese,3852,2021-10
greek,291,2021-10
arabic,166,2021-10
hebrew,147,2021-10
bulgarian,96,2021-10
ukrainian,1645,2021-10
italian,1832,2021-10
thai,600,2021-10
persian,182,2021-10
georgian,136,2021-10
belarusian,20,2021-10
hindi,14,2021-10
armenian,15,2021-10
